# ts=1778664980
# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,srid,sess_other,h1sess,h2sess,h3sess,req_other,h1req,h2req,h3req,proto,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,h1_open_connections,h1_open_streams,h1_total_connections,h1_total_streams,h1_bytes_in,h1_bytes_out,h1_spliced_bytes_in,h1_spliced_bytes_out,
stats,FRONTEND,,,1,2,50000,30,2427,344304,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,2,,0,1,0,2,,,,0,29,0,0,0,0,,1,2,30,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,1,2,30,30,0,0,0,,,0,0,,,,,,,0,,,,,,,,,,0,30,0,0,0,30,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,30,2711,345110,0,0,
tls_passthrough,FRONTEND,,,0,196,50000,60000,17682880,966484,58589,0,0,,,,,OPEN,,,,,,,,,1,2,0,,196,,0,0,0,1003,,,,,,,,,0,,0,0,0,196,196,0,0,0,0,,,,,,,,,,,,,,,,,,,,,tcp,,0,1003,60000,,0,0,0,,,,,,,,,,,0,,,,,,,,,,60000,0,0,0,0,0,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
caddy_tls,caddy1,0,0,0,194,,1411,586610,966484,,0,,0,0,0,0,UP,1,1,0,0,0,79,0,,1,3,1,,1411,,2,0,,814,L4OK,,0,,,,,,0,,,,,2,0,,,,,6,(tcp-check),,0,0,0,88,,,,Layer4 check passed,,2,3,4,,,,,,tcp,,,,,,,,0,1411,0,,,0,,3,24,0,1111,0,0,0,0,1,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
caddy_tls,BACKEND,0,0,0,194,5000,1411,586610,966484,0,0,,0,0,0,0,UP,1,1,0,,0,79,0,,1,3,0,,1411,,1,0,,814,,,,,,,,,0,,,,,2,0,0,0,0,0,6,,,0,0,0,88,,,,,,,,,,,,,,tcp,,,,,,,,0,1411,0,,,,,3,24,0,1111,0,,,,,1,0,0,0,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
# ts=1778664985
# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,srid,sess_other,h1sess,h2sess,h3sess,req_other,h1req,h2req,h3req,proto,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,h1_open_connections,h1_open_streams,h1_total_connections,h1_total_streams,h1_bytes_in,h1_bytes_out,h1_spliced_bytes_in,h1_spliced_bytes_out,
stats,FRONTEND,,,1,2,50000,32,2595,366465,0,0,0,,,,,OPEN,,,,,,,,,1,1,0,,2,,0,1,0,2,,,,0,31,0,0,0,0,,1,2,32,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,1,2,32,32,0,0,0,,,0,0,,,,,,,0,,,,,,,,,,0,32,0,0,0,32,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,32,2892,367325,0,0,
tls_passthrough,FRONTEND,,,0,196,50000,60000,17682880,966484,58589,0,0,,,,,OPEN,,,,,,,,,1,2,0,,196,,0,0,0,1003,,,,,,,,,0,,0,0,0,196,196,0,0,0,0,,,,,,,,,,,,,,,,,,,,,tcp,,0,1003,60000,,0,0,0,,,,,,,,,,,0,,,,,,,,,,60000,0,0,0,0,0,0,0,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
caddy_tls,caddy1,0,0,0,194,,1411,586610,966484,,0,,0,0,0,0,UP,1,1,0,0,0,84,0,,1,3,1,,1411,,2,0,,814,L4OK,,0,,,,,,0,,,,,2,0,,,,,11,(tcp-check),,0,0,0,88,,,,Layer4 check passed,,2,3,4,,,,,,tcp,,,,,,,,0,1411,0,,,0,,3,24,0,1111,0,0,0,0,1,1,,,,0,,,,,,,,,,-,0,0,0,,,,,,,,,,,,,,,,,,,,,,
caddy_tls,BACKEND,0,0,0,194,5000,1411,586610,966484,0,0,,0,0,0,0,UP,1,1,0,,0,84,0,,1,3,0,,1411,,1,0,,814,,,,,,,,,0,,,,,2,0,0,0,0,0,11,,,0,0,0,88,,,,,,,,,,,,,,tcp,,,,,,,,0,1411,0,,,,,3,24,0,1111,0,,,,,1,0,0,0,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
